卫星名称    高度角 (度)   方位角 (度)        电离层延迟 (秒)           
G14          -69.062        243.085                   0
G13           61.255        168.035               4.296
G20            34.97        279.013              6.4181
G18           -7.763        254.987                   0
G16           -18.76        358.336                   0
G19            1.077        155.472             13.6239
G23          -34.284         30.438                   0
G02           58.858         88.957              4.2434
G31          -40.326        301.769                   0
G17          -19.029        149.514                   0
G12            4.578        221.264             14.0402
G15           34.731        207.259              6.5543
G29            43.03        302.658              5.4204
G07             6.19         55.388              8.4055
G05           61.237          0.149              4.1767
G25            5.456        254.814             13.5162
G01          -61.399        146.249                   0
G24           -8.409         192.15                   0
G27          -50.382        353.645                   0
G06            18.95        111.572              8.0023
R14            0.234         75.085              8.6164
R15           -3.261         112.43                   0
R19           49.219        151.209              4.9016
R20           70.409        331.279              3.9794
R01          -72.146        162.803                   0
R06           32.633        249.985              6.8577
R05           62.208        336.253              4.1837
R04           23.629         32.131               6.891
R21           17.654        330.793              8.5839
