id,x,y,value
1,1042,1468,734
2,1501,1170,524
3,1479,1359,562
4,1465,1706,545
5,1282,1828,761
6,1492,1996,742
7,1828,1437,791
8,1605,1903,553
9,1293,1383,621
10,1717,1719,695
11,1448,1727,771
12,1539,1870,712
13,1668,1300,635
14,1895,1704,611
15,1323,1334,473
16,1665,1142,511
17,1254,1869,747
18,1645,1663,757
19,1038,1860,723
20,1742,1530,778
21,1317,1036,590
22,1843,1289,506
23,1041,1943,464
24,1649,1447,605
25,1891,1730,770
26,1351,1007,701
27,1394,1549,429
28,1624,1085,754
29,1757,1841,566
30,1377,1932,708
31,1945,1440,626
32,1324,1538,738
33,1119,1083,529
34,1542,1834,715
35,1640,1659,704
36,1931,1978,706
37,1674,1387,621
38,1746,1925,672
39,1271,1830,777
40,1574,1098,512
41,1987,1291,761
42,1637,1356,767
43,1656,1575,431
44,1053,1351,750
45,1942,1725,766
46,1431,1108,591
47,1008,1338,657
48,1288,1754,783
49,1946,1910,609
50,1759,1222,588
51,1423,1947,706
52,1031,1414,768
53,1901,1592,762
54,1656,1411,759
55,1625,1538,748
56,1484,1596,441
57,1603,1351,691
58,1837,1375,620
59,1597,1022,548
60,1200,1669,484
61,1282,1735,453
62,2000,1419,738
63,1901,1789,527
64,1468,1729,493
65,1649,1484,607
66,1422,1311,617
67,1814,1515,709
68,1617,1936,651
69,1601,1250,519
70,1557,1799,703
71,1225,1009,644
72,1610,1990,702
73,1196,1486,693
74,1344,1524,787
75,1315,1504,648
76,1201,1459,618
77,1581,1797,798
78,1282,1590,798
79,1010,1158,472
80,1623,1539,692
81,1039,1180,590
82,1658,1959,591
83,1816,1889,756
84,1512,1203,634
85,1273,1056,728
86,1647,1363,486
87,1876,1434,669
88,1143,1845,616
89,1882,1999,722
90,1652,1022,499
91,1558,1477,692
92,1390,1076,712
93,1601,1511,603
94,1870,1862,688
95,1402,1790,455
96,1424,1003,585
97,1183,1286,688
98,1427,1618,557
99,1833,1933,569
100,1155,1722,789
